Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;10-2018;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Fire Safety Journal;Elsevier; ;FISJ;0379-7112;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Flora;Elsevier; ;FLORA;0367-2530;;0;0;0;1;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food and Bioproducts Processing;Elsevier; ;FBP;0960-3085;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food Policy;Elsevier; ;JFPO;0306-9192;;0;0;0;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Free Radical Biology and Medicine;Elsevier; ;FRB;0891-5849;1873-4596;0;0;1;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Fungal Biology Reviews;Elsevier; ;FBR;1749-4613;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Future Computing and Informatics Journal;Elsevier; ;FCIJ;2314-7288;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Gaceta Mexicana de Oncología;Elsevier; ;GAMO;1665-9201;;0;2;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
General and Comparative Endocrinology;Elsevier; ;YGCEN;0016-6480;1095-6840;0;1;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Genomics, Proteomics & Bioinformatics;Elsevier; ;GPB;1672-0229;2210-3244;0;0;1;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Geoscience Frontiers;Elsevier; ;GSF;1674-9871;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Geothermics;Elsevier; ;GEOT;0375-6505;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Geriatric Nursing;Elsevier; ;YMGN;0197-4572;1528-3984;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Gynecologic Oncology;Elsevier; ;YGYNO;0090-8258;1095-6859;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Health Professions Education;Elsevier; ;HPE;2452-3011;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Heart, Lung and Circulation;Elsevier; ;HLC;1443-9506;1444-2892;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Image and Vision Computing;Elsevier; ;IMAVIS;0262-8856;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Information & Management;Elsevier; ;INFMAN;0378-7206;;0;2;4;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Information and Control;Elsevier; ;YINCO;0019-9958;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Intermetallics;Elsevier; ;META;0966-9795;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Business Review;Elsevier; ;IBR;0969-5931;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Comparative Jurisprudence;Elsevier; ;ICJ;2351-6674;2351-6674;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Clinical and Health Psychology;Elsevier; ;IJCHP;1697-2600;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Hygiene and Environmental Health;Elsevier; ;IJHEH;1438-4639;1618-131X;0;3;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Lightweight Materials and Manufacture;Elsevier; ;IJLMM;2588-8404;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Surgery Case Reports;Elsevier; ;IJSCR;2210-2612;2210-2612;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Acute Disease;Elsevier; ;;2221-6189;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Ayurveda and Integrative Medicine;Elsevier; ;JAIM;0975-9476;0976-2809;0;0;5;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Banking & Finance;Elsevier; ;JBF;0378-4266;;0;0;2;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Clinical and Translational Endocrinology: Case Reports;Elsevier; ;JECR;2214-6245;2214-6245;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Clinical Anesthesia;Elsevier; ;JCA;0952-8180;1873-4529;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Clinical Virology;Elsevier; ;JCV;1386-6532;1873-5967;0;7;10;1;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Contextual Behavioral Science;Elsevier; ;JCBS;2212-1447;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Environmental Economics and Management;Elsevier; ;YJEEM;0095-0696;1096-0449;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Geriatric Oncology;Elsevier; ;JGO;1879-4068;1879-4076;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Hydrology: Regional Studies;Elsevier; ;EJRH;2214-5818;2214-5818;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Infection;Elsevier; ;YJINF;0163-4453;1532-2742;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Infection and Public Health;Elsevier; ;JIPH;1876-0341;1876-035X;0;0;0;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of King Saud University - Computer and Information Sciences;Elsevier; ;JKSUCI;1319-1578;2213-1248;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Luminescence;Elsevier; ;LUMIN;0022-2313;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Minimally Invasive Gynecology;Elsevier; ;JMIG;1553-4650;1553-4669;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Molecular Structure;Elsevier; ;MOLSTR;0022-2860;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Nuclear Materials;Elsevier; ;NUMA;0022-3115;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Pragmatics;Elsevier; ;PRAGMA;0378-2166;;0;0;0;1;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Saudi Chemical Society;Elsevier; ;JSCS;1319-6103;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Taibah University Medical Sciences;Elsevier; ;JTUMED;1658-3612;;0;0;1;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of the Formosan Medical Association;Elsevier; ;JFMA;0929-6646;1876-0821;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Verbal Learning and Verbal Behavior;Elsevier; ;YJMLA;0022-5371;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of World Business;Elsevier; ;WORBUS;1090-9516;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Kidney International;Elsevier; ;KINT;0085-2538;1523-1755;0;16;0;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Legal Medicine;Elsevier; ;LEGMED;1344-6223;1873-4162;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Management Accounting Research;Elsevier; ;YMARE;1044-5005;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Manufacturing Letters;Elsevier; ;MFGLET;2213-8463;2213-8463;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Marine Structures;Elsevier; ;MAST;0951-8339;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Materials Characterization;Elsevier; ;MTL;1044-5803;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Maturitas;Elsevier; ;MAT;0378-5122;1873-4111;0;1;3;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Médecine et Maladies Infectieuses;Elsevier; ;MEDMAL;0399-077X;1769-6690;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Medical Hypotheses;Elsevier; ;YMEHY;0306-9877;1532-2777;0;1;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Medicina General y de Familia;Elsevier; ;MGYF;1889-5433;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Micron;Elsevier; ;JMIC;0968-4328;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neurocomputing;Elsevier; ;NEUCOM;0925-2312;1872-8286;0;0;1;1;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neuroscience Letters;Elsevier; ;NSL;0304-3940;1872-7972;0;4;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neurotoxicology and Teratology;Elsevier; ;NTT;0892-0362;1872-9738;0;2;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
New Microbes and New Infections;Elsevier; ;NMNI;2052-2975;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Optical Materials;Elsevier; ;OPTMAT;0925-3467;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Optics & Laser Technology;Elsevier; ;JOLT;0030-3992;;0;0;4;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Palaeogeography, Palaeoclimatology, Palaeoecology;Elsevier; ;PALAEO;0031-0182;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Parasitology International;Elsevier; ;PARINT;1383-5769;1873-0329;0;1;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pediatric Neurology;Elsevier; ;PNU;0887-8994;1873-5150;0;1;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Physica B: Condensed Matter;Elsevier; ;PHYSB;0921-4526;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Plant Physiology and Biochemistry;Elsevier; ;PLAPHY;0981-9428;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Political Geography;Elsevier; ;JPGQ;0962-6298;;0;0;0;1;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pregnancy Hypertension;Elsevier; ;PREGHY;2210-7789;2210-7797;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Chemistry;Elsevier; ;PROCHE;1876-6196;1876-6196;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Food Science;Elsevier; ;PROFOO;2211-601X;2211-601X;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia in Vaccinology;Elsevier; ;PROVAC;1877-282X;1877-282X;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Technology;Elsevier; ;PROTCY;2212-0173;2212-0173;0;0;1;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Progress in Energy and Combustion Science;Elsevier; ;JPECS;0360-1285;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Psychoneuroendocrinology;Elsevier; ;PNEC;0306-4530;1873-3360;0;0;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Quaternary International;Elsevier; ;JQI;1040-6182;;0;0;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Radiation Physics and Chemistry;Elsevier; ;RPC;0969-806X;1879-0895;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Reliability Engineering & System Safety;Elsevier; ;RESS;0951-8320;;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Repertorio de Medicina y Cirugía;Elsevier; ;REPER;0121-7372;;0;4;2;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Reproductive Toxicology;Elsevier; ;RTX;0890-6238;1873-1708;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Research in International Business and Finance;Elsevier; ;RIBAF;0275-5319;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Research in Social and Administrative Pharmacy;Elsevier; ;RSAP;1551-7411;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Resources, Conservation and Recycling;Elsevier; ;RECYCL;0921-3449;1879-0658;0;1;0;1;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Results in Physics;Elsevier; ;RINP;2211-3797;2211-3797;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Review of Palaeobotany and Palynology;Elsevier; ;PALBO;0034-6667;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Brasileira de Entomologia;Elsevier; ;RBE;0085-5626;1806-9665;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Brasileira de Ortopedia;Elsevier; ;RBO;0102-3616;1982-4378;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Chilena de Cirugía;Elsevier; ;RCHIC;0379-3893;0718-4026;0;2;2;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Clínica de Periodoncia, Implantología y Rehabilitación Oral;Elsevier; ;;0718-5391;;0;1;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Clínica Española (English Edition);Elsevier; ;RCENG;2254-8874;;0;1;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Colombiana de Psiquiatría;Elsevier; ;RCP;0034-7450;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista de Psicodidáctica (English ed.);Elsevier; ;PSICOE;2530-3805;2530-3805;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista de Psiquiatría y Salud Mental (English Edition);Elsevier; ;RPSMEN;2173-5050;2173-5050;0;1;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Española de Cardiología (English Edition);Elsevier; ;REC;1885-5857;;0;0;1;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Española de Medicina Legal;Elsevier; ;REML;0377-4732;2173-917X;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Hispanoamericana de Hernia;Elsevier; ;REHAH;2255-2677;2255-2677;0;0;1;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Iberoamericana de Cirugía de la Mano;Elsevier; ;RICMA;1698-8396;;0;2;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Odontológica Mexicana;Elsevier; ;RODMEX;1870-199X;1870-199X;0;0;0;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Arthritis and Rheumatism;Elsevier; ;YSARH;0049-0172;1532-866X;0;0;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Sensors and Actuators A: Physical;Elsevier; ;SNA;0924-4247;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Sexual & Reproductive Healthcare;Elsevier; ;SRHC;1877-5756;1877-5764;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Spatial Statistics;Elsevier; ;SPASTA;2211-6753;;0;1;0;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
SSM - Population Health;Elsevier; ;SSMPH;2352-8273;;0;1;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Suma Psicológica;Elsevier; ;SUMPSI;0121-4381;2145-9797;1;0;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The American Journal of Emergency Medicine;Elsevier; ;YAJEM;0735-6757;1532-8171;0;1;4;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The American Journal of Human Genetics;Elsevier; ;AJHG;0002-9297;1537-6605;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Basic & Applied Zoology;Elsevier; ;JOBAZ;2090-9896;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Emergency Medicine;Elsevier; ;JEM;0736-4679;;0;0;0;0;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Heart and Lung Transplantation;Elsevier; ;HEALUN;1053-2498;1557-3117;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Thoracic and Cardiovascular Surgery;Elsevier; ;YMTC;0022-5223;1097-685X;0;2;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Ocular Surface;Elsevier; ;JTOS;1542-0124;1937-5913;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Spine Journal;Elsevier; ;SPINEE;1529-9430;1878-1632;0;0;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Thinking Skills and Creativity;Elsevier; ;TSC;1871-1871;;0;0;0;0;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Thrombosis Research;Elsevier; ;TR;0049-3848;1879-2472;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ticks and Tick-borne Diseases;Elsevier; ;TTBDIS;1877-959X;1877-9603;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Trends in Molecular Medicine;Elsevier; ;TRMOME;1471-4914;1471-499X;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ultrasonics Sonochemistry;Elsevier; ;ULTSON;1350-4177;1873-2828;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Urological Science;Elsevier; ;UROLS;1879-5226;1879-5234;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Value in Health Regional Issues;Elsevier; ;VHRI;2212-1099;2212-1102;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Water Science;Elsevier; ;WSJ;1110-4929;;0;0;0;2;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Women's Studies International Forum;Elsevier; ;WSIF;0277-5395;;0;0;0;1;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Zeitschrift für Medizinische Physik;Elsevier; ;ZEMEDI;0939-3889;1876-4436;0;0;0;0;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
AASRI Procedia;Elsevier; ;AASRI;2212-6716;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Academic Radiology;Elsevier; ;XACRA;1076-6332;1878-4046;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Accident Analysis & Prevention;Elsevier; ;AAP;0001-4575;;0;6;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Anaesthesiologica Taiwanica;Elsevier; ;AJA;1875-4597;1875-452X;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Orthopaedica et Traumatologica Turcica;Elsevier; ;AOTT;1017-995X;2589-1294;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Actas Dermo-Sifiliográficas;Elsevier; ;AD;0001-7310;1578-2190;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Actas Urológicas Españolas (English Edition);Elsevier; ;ACUROE;2173-5786;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Advanced Drug Delivery Reviews;Elsevier; ;ADR;0169-409X;1872-8294;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Advances in Radiation Oncology;Elsevier; ;ADRO;2452-1094;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Advances in Space Research;Elsevier; ;JASR;0273-1177;1879-1948;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Advances in Water Resources;Elsevier; ;ADWR;0309-1708;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Alexandria Journal of Medicine;Elsevier; ;AJME;2090-5068;;0;0;2;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
American Journal of Preventive Medicine;Elsevier; ;AMEPRE;0749-3797;1873-2607;0;1;2;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Anales de Antropología;Elsevier; ;ANTRO;0185-1225;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Animal Feed Science and Technology;Elsevier; ;ANIFEE;0377-8401;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
